"Zip","Latitude","Longitude","LatLong","StateCode"
"00683",18.099194,-67.022630,"18.099194:-67.022630","NJ"
"00703",18.262566,-66.129629,"18.262566:-66.129629","NJ"
"01069",42.192062,-72.307682,"42.192062:-72.307682","ME"
"01079",42.196800,-72.327100,"42.196800:-72.327100","NJ"
"01450",42.616190,-71.576808,"42.616190:-71.576808","MA"
"01463",42.665524,-71.599356,"42.665524:-71.599356","MA"
"01463",42.665524,-71.599356,"42.665524:-71.599356","NH"
"01474",42.669670,-71.743376,"42.669670:-71.743376","MA"
"01720",42.484174,-71.439501,"42.484174:-71.439501","MA"
"01730",42.499880,-71.275308,"42.499880:-71.275308","MA"
"01749",42.389119,-71.538802,"42.389119:-71.538802","MA"
"01810",42.649578,-71.166028,"42.649578:-71.166028","MA"
"01821",42.549069,-71.255880,"42.549069:-71.255880","MA"
"01824",42.587771,-71.351760,"42.587771:-71.351760","MA"
"01826",42.692560,-71.309028,"42.692560:-71.309028","MA"
"01830",42.795190,-71.055630,"42.795190:-71.055630","MA"
"01832",42.791176,-71.129295,"42.791176:-71.129295","MA"
"01841",42.708653,-71.163282,"42.708653:-71.163282","MA"
"01843",42.691573,-71.161102,"42.691573:-71.161102","MA"
"01844",42.731861,-71.185780,"42.731861:-71.185780","MA"
"01850",42.655639,-71.303458,"42.655639:-71.303458","MA"
"01851",42.624348,-71.339113,"42.624348:-71.339113","NH"
"01851",42.624348,-71.339113,"42.624348:-71.339113","MA"
"01852",42.628515,-71.296476,"42.628515:-71.296476","MA"
"01854",42.649275,-71.346363,"42.649275:-71.346363","MA"
"01862",42.568284,-71.292290,"42.568284:-71.292290","MA"
"01863",42.631398,-71.388618,"42.631398:-71.388618","MA"
"01876",42.611064,-71.231595,"42.611064:-71.231595","MA"
"01879",42.658821,-71.432972,"42.658821:-71.432972","MA"
"01886",42.588996,-71.441744,"42.588996:-71.441744","MA"
"01887",42.565327,-71.174652,"42.565327:-71.174652","MA"
"02149",42.405952,-71.051671,"42.405952:-71.051671","MA"
"02881",41.480326,-71.518988,"41.480326:-71.518988","NJ"
"03051",42.761768,-71.412573,"42.761768:-71.412573","NH"
"03053",42.873066,-71.390857,"42.873066:-71.390857","NH"
"03060",42.734521,-71.462396,"42.734521:-71.462396","NH"
"03062",42.730416,-71.494756,"42.730416:-71.494756","NH"
"03076",42.741088,-71.316056,"42.741088:-71.316056","MA"
"03076",42.741088,-71.316056,"42.741088:-71.316056","NH"
"03087",42.805495,-71.301507,"42.805495:-71.301507","NH"
"03455",42.908073,-72.171202,"42.908073:-72.171202","NJ"
"03781",43.536563,-72.283530,"43.536563:-72.283530","NH"
"03833",42.961445,-70.987972,"42.961445:-70.987972","NH"
"05039",44.028081,-72.293180,"44.028081:-72.293180","NJ"
"05156",43.316838,-72.469962,"43.316838:-72.469962","VT"
